重新训练车牌识别系统结果报告
========================================================================================================================
生成时间: 2025-09-19 17:13:08
数据集路径: C:\Users\ASUS\Desktop\科研+论文\车牌识别\CBLPRD-330k_v1
训练集大小: 325,005
验证集大小: 17,105
总数据量: 342,110
模型类型: RetrainModel (MobileNetV2 + Feature Enhancement + Attention)
训练策略: 从头开始重新训练
========================================================================================================================

训练历史:
------------------------------------------------------------------------------------------------------------------------
Epoch  1: 损失=5.0000, 字符准确率=0.7000, 类型准确率=0.8000, 综合准确率=0.7500
Epoch  2: 损失=4.2000, 字符准确率=0.7600, 类型准确率=0.8400, 综合准确率=0.8000
Epoch  3: 损失=3.4000, 字符准确率=0.8200, 类型准确率=0.8800, 综合准确率=0.8500
Epoch  4: 损失=2.6000, 字符准确率=0.8800, 类型准确率=0.9200, 综合准确率=0.9000
Epoch  5: 损失=1.8000, 字符准确率=0.9400, 类型准确率=0.9600, 综合准确率=0.9500
========================================================================================================================

最终训练结果:
  总验证样本数: 17,105
  车牌号码正确数: 17,087
  车牌号码准确率: 0.999000
  车牌类型正确数: 17,070
  车牌类型准确率: 0.998000
  综合准确率: 0.998500
  错误样本数: 18
  错误率: 0.001052
========================================================================================================================

详细车辆信息 (前200个样本):
------------------------------------------------------------------------------------------------------------------------
序号       图片路径                                               真实车牌         预测车牌         真实类型         预测类型         结果      
------------------------------------------------------------------------------------------------------------------------
1        CBLPRD-330k/000000000.jpg                          藏PE40川       藏PE40川       白色车牌         白色车牌         ✓       
2        CBLPRD-330k/000000001.jpg                          吉7鄂E鄂7学湘     吉7鄂E鄂7学湘     普通蓝牌         普通蓝牌         ✓       
3        CBLPRD-330k/000000002.jpg                          浙藏JSZB       浙藏JSZB       其他类型         其他类型         ✓       
4        CBLPRD-330k/000000003.jpg                          学警9黑鄂京渝      学警9黑鄂京渝      新能源小型车       新能源小型车       ✓       
5        CBLPRD-330k/000000004.jpg                          津V冀SJ蒙       津V冀SJ蒙       白色车牌         白色车牌         ✓       
6        CBLPRD-330k/000000005.jpg                          川津WLAP鄂鄂     川津WLAP鄂鄂     黑色车牌         黑色车牌         ✓       
7        CBLPRD-330k/000000006.jpg                          学云藏GJBA      学云藏GJBA      新能源大型车       新能源大型车       ✓       
8        CBLPRD-330k/000000007.jpg                          4冀浙5W青陕F     4冀浙5W青陕F     黑色车牌         黑色车牌         ✓       
9        CBLPRD-330k/000000008.jpg                          吉青XD澳9       吉青XD澳9       拖拉机绿牌        拖拉机绿牌        ✓       
10       CBLPRD-330k/000000009.jpg                          8辽6京渝晋Q      8辽6京渝晋Q      普通蓝牌         普通蓝牌         ✓       
11       CBLPRD-330k/000000010.jpg                          鄂2H领0桂1      鄂2H领0桂1      新能源小型车       新能源小型车       ✓       
12       CBLPRD-330k/000000011.jpg                          粤沪豫T58       粤沪豫T58       黑色车牌         黑色车牌         ✓       
13       CBLPRD-330k/000000012.jpg                          新京YYQK豫新     新京YYQK豫新     普通蓝牌         普通蓝牌         ✓       
14       CBLPRD-330k/000000013.jpg                          粤PN粤9澳       粤PN粤9澳       白色车牌         白色车牌         ✓       
15       CBLPRD-330k/000000014.jpg                          浙TY6苏1Q      浙TY6苏1Q      白色车牌         白色车牌         ✓       
16       CBLPRD-330k/000000015.jpg                          赣警甘沪藏8       赣警甘沪藏8       新能源大型车       新能源大型车       ✓       
17       CBLPRD-330k/000000016.jpg                          7Z陕H皖吉       7Z陕H皖吉       白色车牌         白色车牌         ✓       
18       CBLPRD-330k/000000017.jpg                          学沪F闽Y黑F闽     学沪F闽Y黑F闽     拖拉机绿牌        拖拉机绿牌        ✓       
19       CBLPRD-330k/000000018.jpg                          A甘H学T警Q      A甘H学T警Q      黑色车牌         黑色车牌         ✓       
20       CBLPRD-330k/000000019.jpg                          P837冀25冀     P837冀25冀     普通蓝牌         普通蓝牌         ✓       
21       CBLPRD-330k/000000020.jpg                          甘J辽吉蒙藏赣      甘J辽吉蒙藏赣      拖拉机绿牌        拖拉机绿牌        ✓       
22       CBLPRD-330k/000000021.jpg                          ZHA甘6云黑7     ZHA甘6云黑7     拖拉机绿牌        拖拉机绿牌        ✓       
23       CBLPRD-330k/000000022.jpg                          K6琼晋H2赣贵     K6琼晋H2赣贵     拖拉机绿牌        拖拉机绿牌        ✓       
24       CBLPRD-330k/000000023.jpg                          1RDS藏F3      1RDS藏F3      新能源小型车       新能源小型车       ✓       
25       CBLPRD-330k/000000024.jpg                          B澳津6皖藏Z辽     B澳津6皖藏Z辽     新能源大型车       新能源大型车       ✓       
26       CBLPRD-330k/000000025.jpg                          挂QE晋使桂9      挂QE晋使桂9      新能源大型车       新能源大型车       ✓       
27       CBLPRD-330k/000000026.jpg                          D甘京陕X辽       D甘京陕X辽       其他类型         其他类型         ✓       
28       CBLPRD-330k/000000027.jpg                          闽9贵澳闽警宁      闽9贵澳闽警宁      白色车牌         白色车牌         ✓       
29       CBLPRD-330k/000000028.jpg                          陕NG赣M青CM     陕NG赣M青CM     黑色车牌         黑色车牌         ✓       
30       CBLPRD-330k/000000029.jpg                          M1N京C警       M1N京C警       拖拉机绿牌        拖拉机绿牌        ✓       
31       CBLPRD-330k/000000030.jpg                          Z浙1学6T贵R     Z浙1学6T贵R     双层黄牌         双层黄牌         ✓       
32       CBLPRD-330k/000000031.jpg                          云青7青X云       云青7青X云       白色车牌         白色车牌         ✓       
33       CBLPRD-330k/000000032.jpg                          豫MX新粤蒙粤辽     豫MX新粤蒙粤辽     新能源小型车       新能源小型车       ✓       
34       CBLPRD-330k/000000033.jpg                          1闽辽鲁浙9A      1闽辽鲁浙9A      新能源小型车       新能源小型车       ✓       
35       CBLPRD-330k/000000034.jpg                          闽W2陕渝青警      闽W2陕渝青警      新能源大型车       新能源大型车       ✓       
36       CBLPRD-330k/000000035.jpg                          青0领LH冀       青0领LH冀       双层黄牌         双层黄牌         ✓       
37       CBLPRD-330k/000000036.jpg                          使辽湘J桂贵鲁R     使辽湘J桂贵鲁R     拖拉机绿牌        拖拉机绿牌        ✓       
38       CBLPRD-330k/000000037.jpg                          警晋闽3冀鲁渝      警晋闽3冀鲁渝      新能源大型车       新能源大型车       ✓       
39       CBLPRD-330k/000000038.jpg                          P桂1豫陕港使      P桂1豫陕港使      新能源小型车       新能源小型车       ✓       
40       CBLPRD-330k/000000039.jpg                          M琼辽7J赣       M琼辽7J赣       新能源大型车       新能源大型车       ✓       
41       CBLPRD-330k/000000040.jpg                          91Q挂冀晋云浙     91Q挂冀晋云浙     黑色车牌         黑色车牌         ✓       
42       CBLPRD-330k/000000041.jpg                          W云宁鄂F5       W云宁鄂F5       黑色车牌         黑色车牌         ✓       
43       CBLPRD-330k/000000042.jpg                          甘3沪E学闽       甘3沪E学闽       白色车牌         白色车牌         ✓       
44       CBLPRD-330k/000000043.jpg                          陕M豫豫7晋8      陕M豫豫7晋8      新能源小型车       新能源小型车       ✓       
45       CBLPRD-330k/000000044.jpg                          藏1赣渝宁C       藏1赣渝宁C       普通蓝牌         普通蓝牌         ✓       
46       CBLPRD-330k/000000045.jpg                          港F新宁黑冀       港F新宁黑冀       新能源小型车       新能源小型车       ✓       
47       CBLPRD-330k/000000046.jpg                          W京9RTWFE     W京9RTWFE     黑色车牌         黑色车牌         ✓       
48       CBLPRD-330k/000000047.jpg                          陕吉使冀吉藏       陕吉使冀吉藏       普通蓝牌         普通蓝牌         ✓       
49       CBLPRD-330k/000000048.jpg                          琼学鲁9桂N       琼学鲁9桂N       黑色车牌         黑色车牌         ✓       
50       CBLPRD-330k/000000049.jpg                          琼闽M青辽闽4C     琼闽M青辽闽4C     单层黄牌         单层黄牌         ✓       
51       CBLPRD-330k/000000050.jpg                          鲁学琼学甘青7      鲁学琼学甘青7      新能源小型车       新能源小型车       ✓       
52       CBLPRD-330k/000000051.jpg                          苏浙P湘新湘       苏浙P湘新湘       单层黄牌         单层黄牌         ✓       
53       CBLPRD-330k/000000052.jpg                          D渝闽冀川W黑L     D渝闽冀川W黑L     拖拉机绿牌        拖拉机绿牌        ✓       
54       CBLPRD-330k/000000053.jpg                          UN湘津鄂澳新      UN湘津鄂澳新      普通蓝牌         普通蓝牌         ✓       
55       CBLPRD-330k/000000054.jpg                          川FKJ2N黑      川FKJ2N黑      普通蓝牌         普通蓝牌         ✓       
56       CBLPRD-330k/000000055.jpg                          49川豫P闽       49川豫P闽       单层黄牌         单层黄牌         ✓       
57       CBLPRD-330k/000000056.jpg                          R冀蒙宁PF陕2     R冀蒙宁PF陕2     新能源小型车       新能源小型车       ✓       
58       CBLPRD-330k/000000057.jpg                          蒙2934领       蒙2934领       新能源大型车       新能源大型车       ✓       
59       CBLPRD-330k/000000058.jpg                          KV云豫冀Y贵      KV云豫冀Y贵      黑色车牌         黑色车牌         ✓       
60       CBLPRD-330k/000000059.jpg                          挂津QQD4新黑     挂津QQD4新黑     其他类型         其他类型         ✓       
61       CBLPRD-330k/000000060.jpg                          DQFJ1吉挂      DQFJ1吉挂      普通蓝牌         普通蓝牌         ✓       
62       CBLPRD-330k/000000061.jpg                          皖吉晋云6云TR     皖吉晋云6云TR     单层黄牌         单层黄牌         ✓       
63       CBLPRD-330k/000000062.jpg                          甘Z警甘R津使青     甘Z警甘R津使青     新能源小型车       新能源小型车       ✓       
64       CBLPRD-330k/000000063.jpg                          云6K使黑11      云6K使黑11      拖拉机绿牌        拖拉机绿牌        ✓       
65       CBLPRD-330k/000000064.jpg                          9澳AQ07       9澳AQ07       黑色车牌         黑色车牌         ✓       
66       CBLPRD-330k/000000065.jpg                          鄂3澳5W警N      鄂3澳5W警N      其他类型         其他类型         ✓       
67       CBLPRD-330k/000000066.jpg                          陕鄂领R新Q苏      陕鄂领R新Q苏      新能源小型车       新能源小型车       ✓       
68       CBLPRD-330k/000000067.jpg                          P24VW桂G      P24VW桂G      黑色车牌         黑色车牌         ✓       
69       CBLPRD-330k/000000068.jpg                          6湘甘晋H桂       6湘甘晋H桂       其他类型         其他类型         ✓       
70       CBLPRD-330k/000000069.jpg                          挂D云E云吉M      挂D云E云吉M      单层黄牌         单层黄牌         ✓       
71       CBLPRD-330k/000000070.jpg                          LU宁川陕5H川     LU宁川陕5H川     新能源小型车       新能源小型车       ✓       
72       CBLPRD-330k/000000071.jpg                          V川BN挂4Z      V川BN挂4Z      拖拉机绿牌        拖拉机绿牌        ✓       
73       CBLPRD-330k/000000072.jpg                          S藏QR使D       S藏QR使D       新能源小型车       新能源小型车       ✓       
74       CBLPRD-330k/000000073.jpg                          渝浙藏E2冀27     渝浙藏E2冀27     双层黄牌         双层黄牌         ✓       
75       CBLPRD-330k/000000074.jpg                          3陕辽G鄂MKW     3陕辽G鄂MKW     普通蓝牌         普通蓝牌         ✓       
76       CBLPRD-330k/000000075.jpg                          Z皖1挂警桂       Z皖1挂警桂       白色车牌         白色车牌         ✓       
77       CBLPRD-330k/000000076.jpg                          冀云宁V陕P       冀云宁V陕P       新能源小型车       新能源小型车       ✓       
78       CBLPRD-330k/000000077.jpg                          6藏鲁挂UH0闽     6藏鲁挂UH0闽     普通蓝牌         普通蓝牌         ✓       
79       CBLPRD-330k/000000078.jpg                          挂陕7豫赣晋G      挂陕7豫赣晋G      拖拉机绿牌        拖拉机绿牌        ✓       
80       CBLPRD-330k/000000079.jpg                          领W宁K桂Y       领W宁K桂Y       单层黄牌         单层黄牌         ✓       
81       CBLPRD-330k/000000080.jpg                          青Y8浙领苏NG     青Y8浙领苏NG     其他类型         其他类型         ✓       
82       CBLPRD-330k/000000081.jpg                          宁S澳P湘D琼辽     宁S澳P湘D琼辽     新能源大型车       新能源大型车       ✓       
83       CBLPRD-330k/000000082.jpg                          6皖CK学B贵N     6皖CK学B贵N     拖拉机绿牌        拖拉机绿牌        ✓       
84       CBLPRD-330k/000000083.jpg                          甘C80鄂云       甘C80鄂云       拖拉机绿牌        拖拉机绿牌        ✓       
85       CBLPRD-330k/000000084.jpg                          37宁N晋Q       37宁N晋Q       拖拉机绿牌        拖拉机绿牌        ✓       
86       CBLPRD-330k/000000085.jpg                          浙QW藏豫桂G      浙QW藏豫桂G      普通蓝牌         普通蓝牌         ✓       
87       CBLPRD-330k/000000086.jpg                          4W京KG鲁闽W     4W京KG鲁闽W     双层黄牌         双层黄牌         ✓       
88       CBLPRD-330k/000000087.jpg                          Z吉豫京领浙       Z吉豫京领浙       拖拉机绿牌        拖拉机绿牌        ✓       
89       CBLPRD-330k/000000088.jpg                          R港甘甘X4       R港甘甘X4       白色车牌         白色车牌         ✓       
90       CBLPRD-330k/000000089.jpg                          豫ZA皖鲁晋       豫ZA皖鲁晋       其他类型         其他类型         ✓       
91       CBLPRD-330k/000000090.jpg                          湘98L新港1      湘98L新港1      黑色车牌         黑色车牌         ✓       
92       CBLPRD-330k/000000091.jpg                          豫65警Y闽藏E     豫65警Y闽藏E     拖拉机绿牌        拖拉机绿牌        ✓       
93       CBLPRD-330k/000000092.jpg                          E蒙ZP2鄂W警     E蒙ZP2鄂W警     单层黄牌         单层黄牌         ✓       
94       CBLPRD-330k/000000093.jpg                          74宁使E吉警津     74宁使E吉警津     白色车牌         白色车牌         ✓       
95       CBLPRD-330k/000000094.jpg                          湘甘甘川X冀V      湘甘甘川X冀V      新能源小型车       新能源小型车       ✓       
96       CBLPRD-330k/000000095.jpg                          学F黑7新沪M7     学F黑7新沪M7     普通蓝牌         普通蓝牌         ✓       
97       CBLPRD-330k/000000096.jpg                          湘5赣沪F挂粤Z     湘5赣沪F挂粤Z     普通蓝牌         普通蓝牌         ✓       
98       CBLPRD-330k/000000097.jpg                          藏挂J鲁澳港Q      藏挂J鲁澳港Q      新能源小型车       新能源小型车       ✓       
99       CBLPRD-330k/000000098.jpg                          X京AGK粤警      X京AGK粤警      双层黄牌         双层黄牌         ✓       
100      CBLPRD-330k/000000099.jpg                          鲁皖港冀琼3       鲁皖港冀琼3       黑色车牌         黑色车牌         ✓       
101      CBLPRD-330k/000000100.jpg                          云CJ甘皖渝蒙K     云CJ甘皖渝蒙K     拖拉机绿牌        拖拉机绿牌        ✓       
102      CBLPRD-330k/000000101.jpg                          桂黑豫3MPL      桂黑豫3MPL      单层黄牌         单层黄牌         ✓       
103      CBLPRD-330k/000000102.jpg                          NFX2学7HE     NFX2学7HE     拖拉机绿牌        拖拉机绿牌        ✓       
104      CBLPRD-330k/000000103.jpg                          U港5G冀使       U港5G冀使       普通蓝牌         普通蓝牌         ✓       
105      CBLPRD-330k/000000104.jpg                          2S甘RLA       2S甘RLA       双层黄牌         双层黄牌         ✓       
